subassembly,category,name,specification,qty_subassembly,qty_robot
torso,electronics_controller,Raspberry Pi 5,single-board computer,1,1
torso,electronics_imu,IMU,BNO055 or BNO085,1,1
torso,electronics_canfd_adapter,SAVVYCANFD 2CH CANFD adapter,"USB, dual CAN FD, 12 Mbps max",1,1
torso,cable_power,Power cable red,"diameter >= 2.5 mm, 5 m",1,1
torso,cable_power,Power cable black,"diameter >= 2.5 mm, 5 m",1,1
torso,cable_communication,Communication cable color 1,5 m,1,1
torso,cable_communication,Communication cable color 2,5 m,1,1
torso,motor,RobStride O0,actuator,2,2
torso,fastener_screw,M2 screw,M2 x 5 cyl head,4,4
torso,fastener_screw,M2.5 screw,M2.5 x 20 cyl head,9,9
torso,fastener_screw,M3 screw,M3 x 8 cyl head,12,12
torso,fastener_screw,M4 screw,M4 x 20 cyl head,16,16
torso,fastener_screw,M5 screw,M5 x 10 cyl head,5,5
torso,stl_print,torso/torso_can_holder.stl,stl,1,1
torso,stl_print,torso/torso_imu_holder.stl,stl,1,1
torso,stl_print,torso/torso_torso13.stl,stl,1,1
torso,stl_print,torso/torso_torso23.stl,stl,1,1
torso,stl_print,torso/torso_torso33.stl,stl,1,1
torso,stl_print,torso/torso_uper_torso_22.stl,stl,1,1
torso,stl_print,torso/torso_upper_torso_12.stl,stl,1,1
hipx,fastener_screw,M3 screw,M3 x ? cyl head,3,6
hipx,fastener_screw,M4 screw,M4 x 40 cyl head,6,12
hipx,fastener_screw,M4 screw,M4 x 40-50 cyl head,9,18
hipx,fastener_screw,M4 screw,M4 x 8 cyl head,8,16
hipx,stl_print,left_leg/hipx/hipx_2_hipxy_sym.stl,stl,1,1
hipx,stl_print,right_leg/hipx/hipx_2_hipxy.stl,stl,1,1
hipz,motor,RobStride O2,actuator,1,2
hipz,bearing,Bearing,35x72x17,2,4
hipz,fastener_screw,M4 screw,M4 x 10 cyl head,8,16
hipz,fastener_screw,M4 screw,M4 x 20 cyl head,8,16
hipz,stl_print,left_leg/hipz/hip_z_hipz12_sym.stl,stl,1,1
hipz,stl_print,left_leg/hipz/hip_z_hipz22_sym.stl,stl,1,1
hipz,stl_print,right_leg/hipz/hip_z_hipz12.stl,stl,1,1
hipz,stl_print,right_leg/hipz/hip_z_hipz22.stl,stl,1,1
thigh,motor,RobStride O3,actuator,2,4
thigh,bearing,Bearing,15x21x4,1,2
thigh,bearing,Bearing,5x16x5,2,4
thigh,fastener_screw,M2.5 screw,M2.5 x 6 cyl head,3,6
thigh,fastener_screw,M4 screw,M4 x 10 cyl head,4,8
thigh,fastener_screw,M4 screw,M4 x 23.5 cyl head,4,8
thigh,fastener_screw,M4 screw,M4 x 8 cyl head,10,20
thigh,stl_print,left_leg/thigh/femur_v2_femur_12_sym_1.stl,stl,1,1
thigh,stl_print,left_leg/thigh/femur_v2_femur_22_sym_1.stl,stl,1,1
thigh,stl_print,left_leg/thigh/femur_v2_hat_femur_2.stl,stl,1,1
thigh,stl_print,right_leg/thigh/femur_v2_femur_12_1.stl,stl,1,1
thigh,stl_print,right_leg/thigh/femur_v2_femur_22_1.stl,stl,1,1
thigh,stl_print,right_leg/thigh/femur_v2_hat_femur_2.stl,stl,1,1
knee_mechanism,bearing,Bearing,15x21x4,2,4
knee_mechanism,fastener_screw,M3 screw,M3 x 10-15 cyl head,3,6
knee_mechanism,fastener_screw,M4 screw,M4 x 16 cyl head,8,16
knee_mechanism,stl_print,left_leg/knee_mechanism/femur_v2_knee_actuation_2.stl,stl,1,1
knee_mechanism,stl_print,left_leg/knee_mechanism/femur_v2_knee_rod12_sym_1.stl,stl,1,1
knee_mechanism,stl_print,left_leg/knee_mechanism/femur_v2_knee_rod22_sym_1.stl,stl,1,1
knee_mechanism,stl_print,right_leg/knee_mechanism/femur_v2_knee_actuation_1.stl,stl,1,1
knee_mechanism,stl_print,right_leg/knee_mechanism/femur_v2_knee_rod12_1.stl,stl,1,1
knee_mechanism,stl_print,right_leg/knee_mechanism/femur_v2_knee_rod22_1.stl,stl,1,1
shin,motor,RobStride O5,actuator,2,4
shin,bearing,Bearing,15x21x4,4,8
shin,fastener_screw,M2.5 screw,M2.5 x 6-10 cyl head,3,6
shin,fastener_screw,M3 screw,M3 x 15-20 cyl head,4,8
shin,fastener_screw,M3 screw,M3 x 8-12 cyl head,24,48
shin,fastener_screw,M4 screw,M4 x 18 cyl head,16,32
shin,fastener_screw,M4 screw,M4 x 8-12 cyl head,9,18
shin,fastener_nut,Nut M4,M4 nut,3,6
shin,fastener_insert,Heat-set insert M3,brass threaded insert M3,4,8
shin,stl_print,left_leg/shin/spacer12_5_9_4_5.stl,stl,1,1
shin,stl_print,left_leg/shin/spacer22_5_9_4_5.stl,stl,1,1
shin,stl_print,left_leg/shin/tibias2_hat_big.stl,stl,1,1
shin,stl_print,left_leg/shin/tibias2_shin_spacer_2.stl,stl,1,1
shin,stl_print,left_leg/shin/tibias2_tibias12_sym_4.stl,stl,1,1
shin,stl_print,left_leg/shin/tibias2_tibias22_sym_4.stl,stl,1,1
shin,stl_print,right_leg/shin/spacer12_5_9_4_5.stl,stl,1,1
shin,stl_print,right_leg/shin/spacer22_5_9_4_5.stl,stl,1,1
shin,stl_print,right_leg/shin/tibias2_hat_big.stl,stl,1,1
shin,stl_print,right_leg/shin/tibias2_shin_spacer_2.stl,stl,1,1
shin,stl_print,right_leg/shin/tibias2_tibias12.stl,stl,1,1
shin,stl_print,right_leg/shin/tibias2_tibias22.stl,stl,1,1
ankle_mechanism,fastener_screw,M5 screw,M5 x 15 cyl head,4,8
