subassembly,category,name,specification,qty_subassembly,qty_robot
torso,electronics_controller,Raspberry Pi 5,single-board computer,1,1
torso,electronics_imu,IMU,BNO055 or BNO085,1,1
torso,electronics_canfd_adapter,SAVVYCANFD 2CH CANFD adapter,"USB, dual CAN FD, 12 Mbps max",1,1
torso,cable_power,Power cable red,"diameter >= 2.5 mm, 5 m",1,1
torso,cable_power,Power cable black,"diameter >= 2.5 mm, 5 m",1,1
torso,cable_communication,Communication cable color 1,5 m,1,1
torso,cable_communication,Communication cable color 2,5 m,1,1
torso,motor,RobStride O0,actuator,2,2
torso,fastener_screw,M2 screw,M2 x 5 cyl head,4,4
torso,fastener_screw,M2.5 screw,M2.5 x 20 cyl head,9,9
torso,fastener_screw,M3 screw,M3 x 8 cyl head,12,12
torso,fastener_screw,M4 screw,M4 x 20 cyl head,16,16
torso,fastener_screw,M5 screw,M5 x 10 cyl head,5,5
hipx,fastener_screw,M3 screw,M3 x 8 cyl head,3,6
hipx,fastener_screw,M4 screw,M4 x 40 cyl head,6,12
hipx,fastener_screw,M4 screw,M4 x 45 cyl head,9,18
hipx,fastener_screw,M4 screw,M4 x 8 cyl head,8,16
hipz,motor,RobStride O2,actuator,1,2
hipz,bearing,Bearing,35x72x17,2,4
hipz,fastener_screw,M4 screw,M4 x 10 cyl head,8,16
hipz,fastener_screw,M4 screw,M4 x 20 cyl head,8,16
thigh,motor,RobStride O3,actuator,2,4
thigh,bearing,Bearing,15x21x4,1,2
thigh,bearing,Bearing,5x16x5,2,4
thigh,fastener_screw,M2.5 screw,M2.5 x 6 cyl head,3,6
thigh,fastener_screw,M4 screw,M4 x 10 cyl head,4,8
thigh,fastener_screw,M4 screw,M4 x 23.5 cyl head,4,8
thigh,fastener_screw,M4 screw,M4 x 8 cyl head,10,20
thigh,fastener_axis,Shoulder screw 07534-05X40,"ISO7379, D1=5, L1=40, B=8, M4, SW=2.5, steel 12.9",1,2
knee_mechanism,bearing,Bearing,15x21x4,2,4
knee_mechanism,fastener_screw,M3 screw,M3 x 12.5 cyl head,3,6
knee_mechanism,fastener_screw,M4 screw,M4 x 16 cyl head,8,16
shin,motor,RobStride O5,actuator,2,4
shin,bearing,Bearing,15x21x4,4,8
shin,fastener_screw,M2.5 screw,M2.5 x 8 cyl head,3,6
shin,fastener_screw,M3 screw,M3 x 17.5 cyl head,4,8
shin,fastener_screw,M3 screw,M3 x 10 cyl head,24,48
shin,fastener_screw,M4 screw,M4 x 18 cyl head,16,32
shin,fastener_screw,M4 screw,M4 x 10 cyl head,9,18
shin,fastener_nut,Nut M4,M4 nut,3,6
shin,fastener_insert,Heat-set insert M3,brass threaded insert M3,4,8
ankle_mechanism,fastener_screw,M5 screw,M5 x 15 cyl head,4,8
ankle_mechanism,joint_spherical,Spherical joint 27628-01-05,Norelem,4,8
ankle_mechanism,fastener_axis,Shoulder screw 07534-05X20,"ISO7379, D1=5, L1=20, B=8, M4, steel 12.9",4,8
ankle,fastener_screw,M2.5 screw,M2.5 x 8 cyl head,6,12
ankle,fastener_axis,Shoulder screw 07534-05X40,"ISO7379, D1=5, L1=40, B=8, M4, SW=2.5, steel 12.9",1,2
foot,bearing,Bearing,5x16x5,2,4
foot,fastener_screw,M2.5 screw,M2.5 x 8 cyl head,3,6
foot,fastener_nut,Nut M4,M4 nut,3,6
assembly_pins,fastener_pin,Pin d3mm,d3 pin (goupille),4,8
assembly_pins,fastener_pin,Pin d4mm,d4 pin (goupille),9,18
tools,tool,Allen key,2.5 mm,1,1
